date,n_intervals,split,expected_intervals,missing_intervals
2026-02-24,288,train,288,0
2026-02-25,288,train,288,0
2026-02-26,288,train,288,0
2026-02-27,288,train,288,0
2026-02-28,283,train,288,5
2026-03-01,288,train,288,0
2026-03-02,288,train,288,0
2026-03-03,288,train,288,0
2026-03-04,283,train,288,5
2026-03-05,288,train,288,0
2026-03-06,288,train,288,0
2026-03-07,288,train,288,0
2026-03-08,283,train,288,5
2026-03-09,288,train,288,0
2026-03-10,288,train,288,0
2026-03-11,288,train,288,0
2026-03-12,283,train,288,5
2026-03-13,288,train,288,0
2026-03-14,288,train,288,0
2026-03-15,288,train,288,0
2026-03-16,283,train,288,5
2026-03-17,288,train,288,0
2026-03-18,288,train,288,0
2026-03-19,288,train,288,0
2026-03-20,283,train,288,5
2026-03-21,288,train,288,0
2026-03-22,288,train,288,0
2026-03-23,288,train,288,0
2026-03-24,283,train,288,5
2026-03-25,288,train,288,0
2026-03-26,288,train,288,0
2026-03-27,288,train,288,0
2026-03-28,283,train,288,5
2026-03-29,288,train,288,0
2026-03-30,288,train,288,0
2026-03-31,288,train,288,0
2026-04-01,283,train,288,5
2026-04-02,288,train,288,0
2026-04-03,288,train,288,0
2026-04-04,288,train,288,0
2026-04-05,283,train,288,5
2026-04-06,288,train,288,0
2026-04-07,288,train,288,0
2026-04-08,288,train,288,0
2026-04-09,283,train,288,5
2026-04-10,288,train,288,0
2026-04-11,288,train,288,0
2026-04-12,288,train,288,0
2026-04-13,283,train,288,5
2026-04-14,288,train,288,0
2026-04-15,288,train,288,0
2026-04-16,288,train,288,0
2026-04-17,283,train,288,5
2026-04-18,288,train,288,0
2026-04-19,288,train,288,0
2026-04-20,288,train,288,0
2026-04-21,283,train,288,5
2026-04-22,288,train,288,0
2026-04-23,288,train,288,0
2026-04-24,288,train,288,0
2026-04-25,283,train,288,5
2026-04-26,288,train,288,0
2026-04-27,288,train,288,0
2026-04-28,288,train,288,0
2026-04-29,283,train,288,5
2026-04-30,288,train,288,0
2026-05-01,288,train,288,0
2026-05-02,288,train,288,0
2026-05-03,283,train,288,5
2026-05-04,288,train,288,0
2026-05-05,288,train,288,0
2026-05-06,288,train,288,0
2026-05-07,283,test,288,5
2026-05-08,288,test,288,0
2026-05-09,288,test,288,0
2026-05-10,288,test,288,0
2026-05-11,283,test,288,5
2026-05-12,288,test,288,0
2026-05-13,288,test,288,0
2026-05-14,288,test,288,0
2026-05-15,283,test,288,5
2026-05-16,288,test,288,0
2026-05-17,288,test,288,0
2026-05-18,288,test,288,0
2026-05-19,288,test,288,0
2026-05-20,283,test,288,5
2026-05-21,288,test,288,0
2026-05-22,288,test,288,0
2026-05-23,288,test,288,0
2026-05-24,17,test,288,271
