scenario,seed,algorithm,date,n_steps,daily_energy_kwh,daily_comfort_deviation_c,daily_comfort_rate_pct,daily_episode_return,daily_peak_simulated_power_w
baseline,42,PPO,2026-05-07,283,1.1394018518518518,0.18054975448157978,100.0,-100.49558051828694,64.49444444444445
baseline,42,PPO,2026-05-08,288,1.0386292824074075,0.21047320591135948,98.95833333333334,-100.24128330247134,64.49444444444445
baseline,42,PPO,2026-05-09,288,1.092374652777778,0.16834727114329162,100.0,-92.50901408926785,64.49444444444445
baseline,42,PPO,2026-05-10,288,1.0762510416666666,0.170769081269391,99.65277777777779,-91.90649540558444,64.49444444444445
baseline,42,PPO,2026-05-11,283,1.1259655092592593,0.17416385226065614,100.0,-97.4383701897656,64.49444444444445
baseline,42,PPO,2026-05-12,288,1.0507219907407408,0.2120473587131452,98.95833333333334,-101.81963930938558,64.49444444444445
baseline,42,PPO,2026-05-13,288,1.08834375,0.18305310292482277,100.0,-96.36929364234881,64.49444444444445
baseline,42,PPO,2026-05-14,288,1.0722201388888888,0.19756340740351488,98.95833333333334,-99.64826133221212,64.49444444444445
baseline,42,PPO,2026-05-15,283,1.113872800925926,0.1894580335525962,99.29328621908127,-101.04162349538467,64.49444444444445
baseline,42,PPO,2026-05-16,288,1.0641583333333335,0.26804867845420277,97.91666666666666,-119.79801939481011,64.49444444444445
baseline,42,PPO,2026-05-17,288,1.0843128472222225,0.18288131768179167,99.30555555555556,-96.34481949235592,64.49444444444445
baseline,42,PPO,2026-05-18,288,1.0762510416666666,0.20674247318445702,98.95833333333334,-102.66683227712345,64.49444444444445
baseline,42,PPO,2026-05-19,288,1.1179037037037038,0.2212909665524003,98.95833333333334,-110.73179836709107,64.49444444444445
baseline,42,PPO,2026-05-20,283,1.0708765046296298,0.24564850037904842,98.23321554770318,-113.5435256072704,64.49444444444445
baseline,42,PPO,2026-05-21,288,1.0735637731481482,0.18622403058097736,99.65277777777779,-96.10752080732145,64.49444444444445
baseline,42,PPO,2026-05-22,288,1.0816255787037037,0.2163219869070906,98.61111111111111,-106.12573222924188,64.49444444444445
baseline,42,PPO,2026-05-23,288,1.1058109953703705,0.23051279226747934,98.61111111111111,-112.46268417303378,64.49444444444445
baseline,42,PPO,2026-05-24,17,0.08196168981481483,1.7952655814072138,64.70588235294117,-35.94451488392263,64.49444444444445
baseline,42,DQN,2026-05-07,283,1.1770236111111112,0.15368833730362413,100.0,-96.39379945692544,64.49444444444445
baseline,42,DQN,2026-05-08,288,1.113872800925926,0.17316284282935868,98.95833333333334,-96.49589873485506,64.49444444444445
baseline,42,DQN,2026-05-09,288,1.1461200231481483,0.12237003096857757,100.0,-84.26756891895026,64.49444444444445
baseline,42,DQN,2026-05-10,288,1.1313400462962964,0.13086195780642373,99.65277777777779,-85.53824384824992,64.49444444444445
baseline,42,DQN,2026-05-11,283,1.1622436342592593,0.16343985637558664,100.0,-97.77847935429088,64.49444444444445
baseline,42,DQN,2026-05-12,288,1.1179037037037038,0.16972517538424062,98.95833333333334,-95.88085051066119,64.49444444444445
baseline,42,DQN,2026-05-13,288,1.1367145833333334,0.12899436919065885,100.0,-85.30037832690962,64.49444444444445
baseline,42,DQN,2026-05-14,288,1.1313400462962964,0.16602877902691446,98.95833333333334,-96.06628835975111,64.49444444444445
baseline,42,DQN,2026-05-15,283,1.1568690972222222,0.17919771443437799,99.29328621908127,-102.13795318492882,64.49444444444445
baseline,42,DQN,2026-05-16,288,1.1326836805555556,0.2151333034574523,97.91666666666666,-110.9333913957459,64.49444444444445
baseline,42,DQN,2026-05-17,288,1.1420891203703705,0.1607913042156009,99.30555555555556,-95.35789561409285,64.49444444444445
baseline,42,DQN,2026-05-18,288,1.1286527777777777,0.17948542057220992,98.95833333333334,-99.69180112479629,64.49444444444445
baseline,42,DQN,2026-05-19,288,1.1595563657407408,0.18783233785542133,98.95833333333334,-104.97071330236119,64.49444444444445
baseline,42,DQN,2026-05-20,283,1.1259655092592593,0.19616631099366158,98.23321554770318,-104.66506601120597,64.49444444444445
baseline,42,DQN,2026-05-21,288,1.119247337962963,0.13645748304245586,99.65277777777779,-86.02475511622718,64.49444444444445
baseline,42,DQN,2026-05-22,288,1.1407454861111113,0.18741680736756272,98.61111111111111,-103.30104052185783,64.49444444444445
baseline,42,DQN,2026-05-23,288,1.1595563657407408,0.21974946304201826,98.61111111111111,-114.36284535610106,64.49444444444445
baseline,42,DQN,2026-05-24,17,0.08464895833333334,1.8046790741856666,64.70588235294117,-36.35454426115633,64.49444444444445
baseline,43,PPO,2026-05-07,283,1.1823981481481483,0.132257383256137,100.0,-90.82883946148665,64.49444444444445
baseline,43,PPO,2026-05-08,288,1.0910310185185186,0.18826714707082937,98.95833333333334,-98.72093835639863,64.49444444444445
baseline,43,PPO,2026-05-09,288,1.1367145833333334,0.1399152094190721,100.0,-88.4455803126926,64.49444444444445
baseline,43,PPO,2026-05-10,288,1.108498263888889,0.15408926283317756,99.65277777777779,-90.10270769595503,64.49444444444445
baseline,43,PPO,2026-05-11,283,1.1689618055555557,0.12765206324789302,100.0,-88.27553389915364,64.49444444444445
baseline,43,PPO,2026-05-12,288,1.1071546296296297,0.18873586677294799,98.95833333333334,-100.35592963060874,64.49444444444445
baseline,43,PPO,2026-05-13,288,1.1367145833333334,0.1457057600135383,100.0,-90.1132588838989,64.49444444444445
baseline,43,PPO,2026-05-14,288,1.1152164351851852,0.18191894661563313,98.95833333333334,-99.14265662530212,64.49444444444445
baseline,43,PPO,2026-05-15,283,1.1568690972222222,0.14386156719584767,99.29328621908127,-92.13782351642476,64.49444444444445
baseline,43,PPO,2026-05-16,288,1.1165600694444446,0.23477521446059976,97.91666666666666,-115.09026176465241,64.49444444444445
