scenario,seed,algorithm,date,n_steps,daily_energy_kwh,daily_comfort_deviation_c,daily_comfort_rate_pct,daily_episode_return,daily_peak_simulated_power_w
baseline,,Rule-Based,2026-05-07,283,1.0345983796296296,1.3222181436425677,86.21908127208481,-421.6377346508465,64.49444444444445
baseline,,Rule-Based,2026-05-08,288,0.9956329861111112,1.0605375335043574,97.22222222222221,-342.0598096492544,64.49444444444445
baseline,,Rule-Based,2026-05-09,288,1.0211620370370371,1.1674417263661165,100.0,-373.6232171934414,48.37083333333334
baseline,,Rule-Based,2026-05-10,288,1.0036947916666668,1.0691197014390097,98.61111111111111,-344.48147401443464,64.49444444444445
baseline,,Rule-Based,2026-05-11,283,1.026536574074074,1.2716685939577115,86.21908127208481,-406.58221209003233,64.49444444444445
baseline,,Rule-Based,2026-05-12,288,1.0036947916666668,1.0960285604418916,97.22222222222221,-353.0312254072643,64.49444444444445
baseline,,Rule-Based,2026-05-13,288,1.0171311342592593,1.1395173985403135,99.65277777777779,-365.40601077960997,48.37083333333334
baseline,,Rule-Based,2026-05-14,288,1.010412962962963,1.0324478913111264,97.91666666666666,-334.9449926976039,64.49444444444445
baseline,,Rule-Based,2026-05-15,283,1.0184747685185185,1.259486863972795,85.15901060070671,-402.98478250430065,64.49444444444445
baseline,,Rule-Based,2026-05-16,288,1.0157875,1.1708627376750107,96.18055555555556,-376.3084684504026,64.49444444444445
baseline,,Rule-Based,2026-05-17,288,1.0171311342592593,1.1195380187286306,99.30555555555556,-359.85194939384513,64.49444444444445
baseline,,Rule-Based,2026-05-18,288,1.0117565972222222,1.0497448352217509,97.56944444444444,-340.2515125438642,64.49444444444445
baseline,,Rule-Based,2026-05-19,288,1.026536574074074,1.26613663627475,85.06944444444444,-411.1473512471275,64.49444444444445
baseline,,Rule-Based,2026-05-20,283,1.0063820601851852,1.2013304904912299,95.40636042402826,-379.6015288090178,64.49444444444445
baseline,,Rule-Based,2026-05-21,288,1.0077256944444444,1.10343871469439,99.30555555555556,-354.34034983198416,64.49444444444445
baseline,,Rule-Based,2026-05-22,288,1.0157875,1.0694253408381735,97.56944444444444,-346.29449816139396,64.49444444444445
baseline,,Rule-Based,2026-05-23,288,1.0184747685185187,1.2787267774166642,85.06944444444444,-414.02331189599926,64.49444444444445
baseline,,Rule-Based,2026-05-24,17,0.07524351851851853,2.4052931218199753,52.94117647058824,-46.08998307093957,64.49444444444445
