scenario,seed,algorithm,total_simulated_energy_kwh,mean_comfort_deviation_c,comfort_rate_pct,mean_daily_episode_return,population_sd_daily_episode_return,eei_pct_points_per_kwh,peak_simulated_power_w,n_test_dates,n_test_steps
baseline,42,PPO,18.55424548611111,0.20814837697054586,99.05988146331494,-98.62194491760435,16.88874835045839,5.33893342833406,64.49444444444445,18,4893
baseline,42,DQN,19.46657314814815,0.1745190094827447,99.05988146331494,-94.1956396332815,16.30341554976538,5.088716987290518,64.49444444444445,18,4893
baseline,43,PPO,19.32549155092593,0.17752694804190816,99.05988146331494,-94.28413093161409,16.089161122764576,5.125866071881041,64.49444444444445,18,4893
baseline,43,DQN,19.557940277777774,0.33546877428163635,99.05988146331494,-138.41937292000233,26.272830337784963,5.064944470449645,64.49444444444445,18,4893
baseline,44,PPO,19.19381539351852,0.20669117390007044,99.05988146331494,-101.53138410516898,19.256483943689588,5.161031271394121,64.49444444444445,18,4893
baseline,44,DQN,19.509569444444445,0.19476792092273235,99.05988146331494,-99.92219094860702,17.470205940383956,5.077502184012743,64.49444444444445,18,4893
baseline,45,PPO,19.127977314814817,0.36188702672731493,97.03658287349275,-144.47851232093046,44.594361841481614,5.073018504593107,64.49444444444445,18,4893
baseline,45,DQN,19.33758425925926,0.226015073985041,99.05988146331494,-107.52731983382235,19.089516453658938,5.122660624782172,64.49444444444445,18,4893
baseline,46,PPO,18.775945138888893,0.2416032587491185,99.05988146331494,-108.86193028107965,19.8508358088089,5.27589320966545,64.49444444444445,18,4893
baseline,46,DQN,19.651994675925927,0.2978070965837895,99.05988146331494,-128.66778464358214,31.039090617039623,5.040703658680775,64.49444444444445,18,4893
reward_alpha_0p5,42,PPO,19.08632465277778,0.1825317710613842,99.05988146331494,-69.59938766120422,12.35310765688059,5.190097269402676,64.49444444444445,18,4893
reward_alpha_0p5,42,DQN,19.258309837962965,0.22890763220436036,99.05988146331494,-76.79152901044262,14.246238728707803,5.143747415883975,64.49444444444445,18,4893
reward_alpha_0p5,43,PPO,19.19247175925926,0.201867520821808,99.05988146331494,-72.77604942725294,13.019250189648933,5.161392586940985,64.49444444444445,18,4893
reward_alpha_0p5,43,DQN,19.282495254629634,0.308276704107818,99.05988146331494,-87.70410869998756,16.557473511310054,5.137295778124521,64.49444444444445,18,4893
reward_alpha_0p5,44,PPO,18.841783217592596,0.21410221019687564,99.05988146331494,-72.62644762481422,13.411378442729534,5.257457870060972,64.49444444444445,18,4893
reward_alpha_0p5,44,DQN,18.86865590277778,0.20506846051312297,99.05988146331494,-71.53749936918638,12.940660516323906,5.249970213762374,64.49444444444445,18,4893
reward_alpha_0p5,45,PPO,18.319109490740743,0.23920338482605918,99.05988146331494,-73.33672672094185,13.361497552054024,5.4074616188840405,64.49444444444445,18,4893
reward_alpha_0p5,45,DQN,19.266371643518518,0.2955870440328779,99.05988146331494,-85.89603906813528,16.52560290159496,5.141595070218636,64.49444444444445,18,4893
reward_alpha_0p5,46,PPO,19.10513553240741,0.2263281001696484,99.05988146331494,-75.64926094805801,13.940198048034713,5.184987109632535,64.49444444444445,18,4893
reward_alpha_0p5,46,DQN,19.255622569444448,0.38748003050554436,99.05988146331494,-98.33027192398966,19.630003481498264,5.144465264940688,64.49444444444445,18,4893
reward_beta_1p0,42,PPO,18.492438310185186,0.5344185657686281,99.05988146331494,-282.57000235032746,58.891511674906425,5.356777716476424,64.49444444444445,18,4893
reward_beta_1p0,42,DQN,18.969428472222226,0.2746710396294808,99.05988146331494,-216.89252205039145,44.07002268608627,5.222080444245998,64.49444444444445,18,4893
reward_beta_1p0,43,PPO,18.397040277777784,0.26216930434232094,99.05988146331494,-207.57746700816517,40.46365815974186,5.384555339750585,64.49444444444445,18,4893
reward_beta_1p0,43,DQN,18.577087268518518,0.898261110250992,97.03658287349275,-383.44953402545,88.03469385673634,5.223455188151851,64.49444444444445,18,4893
reward_beta_1p0,44,PPO,18.695327083333332,0.2414746380901615,99.05988146331494,-205.03530023195316,40.41266515045854,5.298643935019767,64.49444444444445,18,4893
reward_beta_1p0,44,DQN,18.949273958333336,0.56017826460764,99.05988146331494,-294.2945693736211,63.43954048499904,5.2276346672243506,64.49444444444445,18,4893
reward_beta_1p0,45,PPO,18.863281365740743,0.21087312445515027,99.05988146331494,-198.45289988661366,38.20008210594154,5.251466038312203,64.49444444444445,18,4893
reward_beta_1p0,45,DQN,18.990926620370374,0.27369083028863295,99.05988146331494,-216.84829070012654,42.9856426851497,5.21616893390866,64.49444444444445,18,4893
reward_beta_1p0,46,PPO,18.450785648148152,0.29237897394180073,99.05988146331494,-216.34501774984594,43.22819075013528,5.368870646072313,64.49444444444445,18,4893
reward_beta_1p0,46,DQN,18.937181250000002,0.24714856105004027,99.05988146331494,-209.07766162321352,40.65657323188573,5.2309728758241105,64.49444444444445,18,4893
reward_bonus_0p0,42,PPO,18.507218287037038,0.4453610636341656,99.05988146331494,-216.71676024233182,53.77449329687188,5.352499761279586,64.49444444444445,18,4893
reward_bonus_0p0,42,DQN,19.360426041666667,0.2453692145963932,99.05988146331494,-166.7620315011196,32.86027756740236,5.11661681670241,64.49444444444445,18,4893
reward_bonus_0p0,43,PPO,18.949273958333336,0.9032900647726183,92.02942979767013,-343.48184927402343,83.1018779039861,4.856620364454559,64.49444444444445,18,4893
reward_bonus_0p0,43,DQN,19.46388587962963,0.35365562082048324,99.05988146331494,-196.73260848192362,44.07040191063643,5.089419557632543,64.49444444444445,18,4893
reward_bonus_0p0,44,PPO,19.09976099537037,0.3950325297280818,97.34314326589003,-206.0982871088613,51.38406304289012,5.096563422415874,64.49444444444445,18,4893
reward_bonus_0p0,44,DQN,19.35505150462963,0.25511501976366696,99.05988146331494,-169.38348842797902,34.16124934825078,5.118037605821939,64.49444444444445,18,4893
reward_bonus_0p0,45,PPO,19.097073726851853,0.6830091179825315,96.77089720008175,-284.36603412714044,73.8931693369536,5.067315473784601,64.49444444444445,18,4893
reward_bonus_0p0,45,DQN,19.30130613425926,0.24078170759010573,99.05988146331494,-165.2094386243549,31.862219647662506,5.1322890157929,64.49444444444445,18,4893
reward_bonus_0p0,46,PPO,18.989582986111113,0.20505098267207636,99.05988146331494,-153.88552545635946,29.98187780011338,5.216538011169958,64.49444444444445,18,4893
reward_bonus_0p0,46,DQN,19.594218402777777,0.2083635994411883,99.05988146331494,-157.91100511476304,30.29007422717997,5.055566873199275,64.49444444444445,18,4893
env_response_minus20,42,PPO,18.765196064814816,0.18360558787584078,98.71244635193133,-93.22956341536035,14.918994752761112,5.260400478150052,64.49444444444445,18,4893
env_response_minus20,42,DQN,18.990926620370374,0.3229894618731469,98.71244635193133,-132.285413163628,24.595954663384163,5.197874138803143,64.49444444444445,18,4893
env_response_minus20,43,PPO,19.075575578703706,0.17630828503579457,98.71244635193133,-92.85007992667444,14.42005882372558,5.174808274835784,64.49444444444445,18,4893
env_response_minus20,43,DQN,19.73395636574074,0.3121328579976875,98.71244635193133,-133.17450412126001,26.22935697601272,5.002161985282469,64.49444444444445,18,4893
env_response_minus20,44,PPO,19.164255439814816,0.18113072857673979,98.71244635193133,-94.61931416255472,15.185255997559905,5.150862586962324,64.49444444444445,18,4893
env_response_minus20,44,DQN,19.496133101851854,0.23139665148135932,98.71244635193133,-109.99854531657152,18.50250497930103,5.063180777246287,64.49444444444445,18,4893
env_response_minus20,45,PPO,18.951961226851854,0.16709146975105052,98.71244635193133,-89.70575341621594,14.122440716559607,5.2085610122540675,64.49444444444445,18,4893
env_response_minus20,45,DQN,19.55525300925926,0.23114846715635878,98.71244635193133,-110.23663609978114,19.47881904240225,5.047873648333353,64.49444444444445,18,4893
env_response_minus20,46,PPO,19.032579282407408,0.19060017587870515,98.71244635193133,-96.51287003191675,15.410007992128827,5.186498628862946,64.49444444444445,18,4893
env_response_minus20,46,DQN,19.723207291666665,0.2154966662932704,98.71244635193133,-106.8500104540538,18.419368292857616,5.004888144822102,64.49444444444445,18,4893
env_response_plus20,42,PPO,18.648299884259256,0.23479584746765902,99.26425505824648,-106.24061564773623,19.592630451975747,5.322965400295494,64.49444444444445,18,4893
env_response_plus20,42,DQN,19.31742974537037,0.23799356195714133,99.26425505824648,-110.56819436979387,20.628298514364698,5.138585017089876,64.49444444444445,18,4893
env_response_plus20,43,PPO,18.45347291666667,0.34353632874849843,99.26425505824648,-134.7929586981333,28.742736317556076,5.37916388457122,64.49444444444445,18,4893
env_response_plus20,43,DQN,18.825659606481484,0.7272715982567384,91.211935417944,-245.406385015012,64.03889625979109,4.845085767222768,64.49444444444445,18,4893
env_response_plus20,44,PPO,19.30130613425926,0.2296562496630177,99.26425505824648,-108.21850164450791,20.174044541541956,5.142877604643309,64.49444444444445,18,4893
env_response_plus20,44,DQN,19.379236921296293,0.15817776648398807,99.26425505824648,-89.1910450781195,15.845483669498746,5.122196269202049,64.49444444444445,18,4893
env_response_plus20,45,PPO,19.043328356481485,0.3557769559748154,99.26425505824648,-141.16898031026494,32.23349309971212,5.212547575721522,64.49444444444445,18,4893
env_response_plus20,45,DQN,19.553909375000003,0.21104027354153163,99.26425505824648,-104.46361435770615,19.830701666652416,5.076440375915697,64.49444444444445,18,4893
env_response_plus20,46,PPO,18.91971400462963,0.3524497741772493,99.26425505824648,-139.62565250273764,27.036027257017768,5.246604416639524,64.49444444444445,18,4893
env_response_plus20,46,DQN,19.711114583333334,0.32673462980025947,99.26425505824648,-136.72569686737032,30.250848791094405,5.03595342813232,64.49444444444445,18,4893
