scenario,seed,algorithm,requested_timesteps,completed_timesteps,training_time_s,episodes_logged
baseline,42,PPO,500000,501760,1115.8141644001007,1749
baseline,42,DQN,500000,500000,857.994745016098,1743
baseline,43,PPO,500000,501760,1068.283860206604,1749
baseline,43,DQN,500000,500000,897.0606849193573,1743
baseline,44,PPO,500000,501760,1060.8024954795837,1749
baseline,44,DQN,500000,500000,867.1955287456512,1743
baseline,45,PPO,500000,501760,1067.8849668502808,1749
baseline,45,DQN,500000,500000,865.3919982910156,1743
baseline,46,PPO,500000,501760,1063.7558286190033,1749
baseline,46,DQN,500000,500000,872.6884987354279,1743
reward_alpha_0p5,42,PPO,500000,501760,1062.343094110489,1749
reward_alpha_0p5,42,DQN,500000,500000,866.3580539226532,1743
reward_alpha_0p5,43,PPO,500000,501760,1047.1414873600006,1749
reward_alpha_0p5,43,DQN,500000,500000,852.9924347400665,1743
reward_alpha_0p5,44,PPO,500000,501760,1067.8203253746033,1749
reward_alpha_0p5,44,DQN,500000,500000,848.5724310874939,1743
reward_alpha_0p5,45,PPO,500000,501760,1048.5113112926483,1749
reward_alpha_0p5,45,DQN,500000,500000,847.7011814117432,1743
reward_alpha_0p5,46,PPO,500000,501760,1044.9495029449463,1749
reward_alpha_0p5,46,DQN,500000,500000,844.7696762084961,1743
reward_beta_1p0,42,PPO,500000,501760,1092.3424048423767,1749
reward_beta_1p0,42,DQN,500000,500000,859.5078372955322,1743
reward_beta_1p0,43,PPO,500000,501760,1069.1054022312164,1749
reward_beta_1p0,43,DQN,500000,500000,863.9896893501282,1743
reward_beta_1p0,44,PPO,500000,501760,1072.3187782764435,1749
reward_beta_1p0,44,DQN,500000,500000,869.7742395401001,1743
reward_beta_1p0,45,PPO,500000,501760,1055.4245009422302,1749
reward_beta_1p0,45,DQN,500000,500000,859.5755293369293,1743
reward_beta_1p0,46,PPO,500000,501760,1067.7631936073303,1749
reward_beta_1p0,46,DQN,500000,500000,866.161426782608,1743
reward_bonus_0p0,42,PPO,500000,501760,940.8390991687775,1749
reward_bonus_0p0,42,DQN,500000,500000,758.5810430049896,1743
reward_bonus_0p0,43,PPO,500000,501760,945.3609220981598,1749
reward_bonus_0p0,43,DQN,500000,500000,762.8907330036163,1743
reward_bonus_0p0,44,PPO,500000,501760,941.5670428276062,1749
reward_bonus_0p0,44,DQN,500000,500000,759.1513178348541,1743
reward_bonus_0p0,45,PPO,500000,501760,953.6545960903168,1749
reward_bonus_0p0,45,DQN,500000,500000,760.4976394176483,1743
reward_bonus_0p0,46,PPO,500000,501760,947.300379037857,1749
reward_bonus_0p0,46,DQN,500000,500000,763.4460594654083,1743
env_response_minus20,42,PPO,500000,501760,939.5291991233826,1749
env_response_minus20,42,DQN,500000,500000,988.6675264835358,1743
env_response_minus20,43,PPO,500000,501760,1782.0839924812317,1749
env_response_minus20,43,DQN,500000,500000,773.0130958557129,1743
env_response_minus20,44,PPO,500000,501760,995.9616105556488,1749
env_response_minus20,44,DQN,500000,500000,757.595460653305,1743
env_response_minus20,45,PPO,500000,501760,965.5591723918915,1749
env_response_minus20,45,DQN,500000,500000,765.7941887378693,1743
env_response_minus20,46,PPO,500000,501760,1006.628265619278,1749
env_response_minus20,46,DQN,500000,500000,769.2250964641571,1743
env_response_plus20,42,PPO,500000,501760,1022.3549780845642,1749
env_response_plus20,42,DQN,500000,500000,790.9551413059235,1743
env_response_plus20,43,PPO,500000,501760,947.4060728549957,1749
env_response_plus20,43,DQN,500000,500000,756.9680597782135,1743
env_response_plus20,44,PPO,500000,501760,950.074453830719,1749
env_response_plus20,44,DQN,500000,500000,741.757009267807,1743
env_response_plus20,45,PPO,500000,501760,952.193843126297,1749
env_response_plus20,45,DQN,500000,500000,727.2429478168488,1743
env_response_plus20,46,PPO,500000,501760,942.6916868686676,1749
env_response_plus20,46,DQN,500000,500000,734.6807749271393,1743
