scenario,algorithm,n_seeds,mean_training_time_s,sd_training_time_s,ci95_low_s,ci95_high_s,min_training_time_s,max_training_time_s,mean_completed_timesteps
baseline,DQN,5,872.06629114151,14.928042272370227,853.5306784882439,890.601903794776,857.994745016098,897.0606849193573,500000.0
baseline,PPO,5,1075.3082631111145,22.853072222616944,1046.9324260839405,1103.6841001382884,1060.8024954795837,1115.8141644001007,501760.0
env_response_minus20,DQN,5,810.859073638916,99.5607958889667,687.2380177510727,934.4801295267594,757.595460653305,988.6675264835358,500000.0
env_response_minus20,PPO,5,1137.9524480342866,361.0415878266435,689.6601065756211,1586.2447894929521,939.5291991233826,1782.0839924812317,501760.0
env_response_plus20,DQN,5,750.3207866191864,25.228316993491273,718.9956936730961,781.6458795652767,727.2429478168488,790.9551413059235,500000.0
env_response_plus20,PPO,5,962.9442069530487,33.40074391123609,921.4717057252433,1004.4167081808541,942.6916868686676,1022.3549780845642,501760.0
reward_alpha_0p5,DQN,5,852.0787554740906,8.509014030284588,841.5134190924755,862.6440918557057,844.7696762084961,866.3580539226532,500000.0
reward_alpha_0p5,PPO,5,1054.1531442165374,10.241676417265147,1041.4364233279668,1066.869865105108,1044.9495029449463,1067.8203253746033,501760.0
reward_beta_1p0,DQN,5,863.8017444610596,4.403766979266528,858.3337455464258,869.2697433756933,859.5078372955322,869.7742395401001,500000.0
reward_beta_1p0,PPO,5,1071.3908559799195,13.35230472466106,1054.8117799102617,1087.9699320495772,1055.4245009422302,1092.3424048423767,501760.0
reward_bonus_0p0,DQN,5,760.9133585453034,2.1818506672694586,758.204233122298,763.6224839683088,758.5810430049896,763.4460594654083,500000.0
reward_bonus_0p0,PPO,5,945.7444078445435,5.163613498436628,939.3329348628957,952.1558808261913,940.8390991687775,953.6545960903168,501760.0
