scenario,algorithm,metric,n_seeds,mean,sd,ci95_low,ci95_high
baseline,DQN,total_simulated_energy_kwh,5,19.50473236111111,0.1161198547002491,19.36055051805316,19.64891420416906
baseline,DQN,mean_comfort_deviation_c,5,0.2457155750511888,0.06859644221800736,0.1605418423442243,0.3308893077581533
baseline,DQN,comfort_rate_pct,5,99.05988146331494,0.0,99.05988146331494,99.05988146331494
baseline,DQN,mean_daily_episode_return,5,-113.74646159585907,18.996192100660185,-137.33334943021157,-90.15957376150659
baseline,PPO,total_simulated_energy_kwh,5,18.99549497685185,0.3196418076801464,18.59860725193464,19.392382701769062
baseline,PPO,mean_comfort_deviation_c,5,0.23917135687779162,0.07225384156334896,0.14945636307666244,0.3288863506789208
baseline,PPO,comfort_rate_pct,5,98.6552217453505,0.9048466371243761,97.53170625213743,99.77873723856358
baseline,PPO,mean_daily_episode_return,5,-109.5555805112795,20.231421133639916,-134.67620776541898,-84.43495325714004
env_response_minus20,DQN,total_simulated_energy_kwh,5,19.499895277777778,0.3028120601425436,19.123904444476867,19.87588611107869
env_response_minus20,DQN,mean_comfort_deviation_c,5,0.2626328209603646,0.050699994240502796,0.1996804634027941,0.3255851785179351
env_response_minus20,DQN,comfort_rate_pct,5,98.71244635193133,0.0,98.71244635193133,98.71244635193133
env_response_minus20,DQN,mean_daily_episode_return,5,-118.50902183105889,13.05429480508341,-134.71806971246937,-102.29997394964839
env_response_minus20,PPO,total_simulated_energy_kwh,5,18.997913518518523,0.15097331877396808,18.810455383907545,19.1853716531295
env_response_minus20,PPO,mean_comfort_deviation_c,5,0.17974724942362616,0.008754742114988938,0.16887680132588612,0.1906176975213662
env_response_minus20,PPO,comfort_rate_pct,5,98.71244635193133,0.0,98.71244635193133,98.71244635193133
env_response_minus20,PPO,mean_daily_episode_return,5,-93.38351619054444,2.507700481565295,-96.49723759678231,-90.26979478430657
env_response_plus20,DQN,total_simulated_energy_kwh,5,19.3574700462963,0.3348702117534615,18.941673760291156,19.773266332301443
env_response_plus20,DQN,mean_comfort_deviation_c,5,0.3322435660079318,0.22910134142595276,0.04777667841913763,0.616710453596726
env_response_plus20,DQN,comfort_rate_pct,5,97.65379113018598,3.6011068184545967,93.18242644002481,102.12515582034715
env_response_plus20,DQN,mean_daily_episode_return,5,-137.27098713760037,62.83829504041968,-215.29503579779563,-59.24693847740511
env_response_plus20,PPO,total_simulated_energy_kwh,5,18.87322425925926,0.3320892034142824,18.460881051187577,19.285567467330942
env_response_plus20,PPO,mean_comfort_deviation_c,5,0.30324303120624796,0.06500903401041133,0.22252365411751615,0.38396240829497974
env_response_plus20,PPO,comfort_rate_pct,5,99.26425505824648,0.0,99.26425505824648,99.26425505824648
env_response_plus20,PPO,mean_daily_episode_return,5,-126.009341760676,17.318249116539143,-147.5127882006068,-104.5058953207452
reward_alpha_0p5,DQN,total_simulated_energy_kwh,5,19.18629104166667,0.1778720063737624,18.9654337750641,19.407148308269242
reward_alpha_0p5,DQN,mean_comfort_deviation_c,5,0.2850639742727447,0.07192258229169045,0.19576029318330512,0.3743676553621843
reward_alpha_0p5,DQN,comfort_rate_pct,5,99.05988146331494,0.0,99.05988146331494,99.05988146331494
reward_alpha_0p5,DQN,mean_daily_episode_return,5,-84.0518896143483,10.367432084955263,-96.92475678805984,-71.17902244063676
reward_alpha_0p5,PPO,total_simulated_energy_kwh,5,18.908964930555555,0.3545272628638937,18.468761191875736,19.349168669235375
reward_alpha_0p5,PPO,mean_comfort_deviation_c,5,0.2128065974151551,0.02189479699781712,0.1856206162349857,0.23999257859532447
reward_alpha_0p5,PPO,comfort_rate_pct,5,99.05988146331494,0.0,99.05988146331494,99.05988146331494
reward_alpha_0p5,PPO,mean_daily_episode_return,5,-72.79757447645424,2.1610730845692396,-75.48090112305103,-70.11424782985746
reward_beta_1p0,DQN,total_simulated_energy_kwh,5,18.88477951388889,0.17321420808786714,18.66970566772881,19.09985336004897
reward_beta_1p0,DQN,mean_comfort_deviation_c,5,0.45078996116535724,0.28109074456266664,0.10176970341360364,0.7998102189171108
reward_beta_1p0,DQN,comfort_rate_pct,5,98.65522174535049,0.9048466371243762,97.53170625213741,99.77873723856356
reward_beta_1p0,DQN,mean_daily_episode_return,5,-264.1125155545605,75.24086362331153,-357.53638710938566,-170.68864399973535
reward_beta_1p0,PPO,total_simulated_energy_kwh,5,18.57977453703704,0.19454181578887178,18.33821896822681,18.82133010584727
reward_beta_1p0,PPO,mean_comfort_deviation_c,5,0.3082629213196123,0.1298737311165527,0.14700338507979285,0.4695224575594318
reward_beta_1p0,PPO,comfort_rate_pct,5,99.05988146331494,0.0,99.05988146331494,99.05988146331494
reward_beta_1p0,PPO,mean_daily_episode_return,5,-221.99613744538107,34.46367781535352,-264.78844543439925,-179.20382945636285
reward_bonus_0p0,DQN,total_simulated_energy_kwh,5,19.414977592592596,0.1161975653180111,19.27069925905829,19.5592559261269
reward_bonus_0p0,DQN,mean_comfort_deviation_c,5,0.2606570324423675,0.054869846893299525,0.1925271189680048,0.3287869459167302
reward_bonus_0p0,DQN,comfort_rate_pct,5,99.05988146331494,0.0,99.05988146331494,99.05988146331494
reward_bonus_0p0,DQN,mean_daily_episode_return,5,-171.19971443002802,14.894576066701369,-189.69377330055855,-152.7056555594975
reward_bonus_0p0,PPO,total_simulated_energy_kwh,5,18.928581990740742,0.24463665226293207,18.624825466984767,19.232338514496718
reward_bonus_0p0,PPO,mean_comfort_deviation_c,5,0.5263487517578948,0.2709531490951132,0.1899159813265559,0.8627815221892337
reward_bonus_0p0,PPO,comfort_rate_pct,5,96.85264663805435,2.8833340835558405,93.27251451170922,100.43277876439949
reward_bonus_0p0,PPO,mean_daily_episode_return,5,-240.90969124174325,73.78996974362326,-332.5320401009453,-149.2873423825412
